Indice de spécificité;Probabilité;Fréquence corpus;Fréquence partie;Taille corpus;Taille partie;Mot
37.58;7.13e-218;278;131;2104866;2001;LEM:
4.72;1.94e-06;25;3;2104866;2001;LEM:AFFLVO
4.66;2.70e-06;3;2;2104866;2001;LEM:SIMO N
4.66;2.70e-06;3;2;2104866;2001;LEM:IOANNES N
4.66;2.70e-06;3;2;2104866;2001;LEM:ELEAZARVS N
4.51;5.41e-06;4;2;2104866;2001;LEM:TYRRHENVS N
4.28;1.54e-05;808;7;2104866;2001;LEM:OB
4.12;3.23e-05;9;2;2104866;2001;LEM:CANNINEFATES N
4.11;3.38e-05;2930;12;2104866;2001;LEM:VRBS
4.07;4.04e-05;10;2;2104866;2001;LEM:ACCVRSVS
3.9;8.30e-05;6542;18;2104866;2001;LEM:AC 1
3.85;1.04e-04;93;3;2104866;2001;LEM:IVSSVM
3.82;1.18e-04;97;3;2104866;2001;LEM:DISICIO
3.81;1.21e-04;17;2;2104866;2001;LEM:LYDVS N
3.78;1.37e-04;18;2;2104866;2001;LEM:CONGLOBO
3.63;2.48e-04;125;3;2104866;2001;LEM:INDO
3.62;2.66e-04;25;2;2104866;2001;LEM:OSTIA N
3.58;3.11e-04;27;2;2104866;2001;LEM:DIVERSITAS
3.47;4.66e-04;33;2;2104866;2001;LEM:NERVII N
3.47;4.66e-04;33;2;2104866;2001;LEM:GLISCO
3.39;6.33e-04;47988;69;2104866;2001;LEM:ET 2
3.38;6.61e-04;175;3;2104866;2001;LEM:STIPENDIVM
3.35;7.52e-04;183;3;2104866;2001;LEM:FIRMO
3.33;8.00e-04;187;3;2104866;2001;LEM:CVPIDO
3.32;8.25e-04;189;3;2104866;2001;LEM:COMPLEO
3.31;8.67e-04;45;2;2104866;2001;LEM:CONGREGO
3.3;9.02e-04;195;3;2104866;2001;LEM:SPERNO
3.25;1.09e-03;208;3;2104866;2001;LEM:DILECTVS 1
3.23;1.18e-03;214;3;2104866;2001;LEM:MODICVS
3.15;1.53e-03;60;2;2104866;2001;LEM:PERICLITOR
3.14;1.58e-03;61;2;2104866;2001;LEM:PALLAS O
3.13;1.69e-03;1303;6;2104866;2001;LEM:DVX
3.11;1.81e-03;249;3;2104866;2001;LEM:IVVENTVS
3.09;1.89e-03;2;1;2104866;2001;LEM:IMPROMPTVS
3.09;1.89e-03;2;1;2104866;2001;LEM:IDAEI N
3.09;1.89e-03;2;1;2104866;2001;LEM:GENITALIA
3.09;1.89e-03;2;1;2104866;2001;LEM:APPRIMO
3.09;1.89e-03;2;1;2104866;2001;LEM:AGNATVS
3.09;1.89e-03;2;1;2104866;2001;LEM:ASSVLTVS
3.08;2.02e-03;69;2;2104866;2001;LEM:DOMITIANVS N
3.05;2.23e-03;943;5;2104866;2001;LEM:INGENS
3.01;2.57e-03;590;4;2104866;2001;LEM:AVGEO
3.01;2.50e-03;77;2;2104866;2001;LEM:MINITOR
2.99;2.70e-03;80;2;2104866;2001;LEM:CONVINCO
2.99;2.70e-03;80;2;2104866;2001;LEM:VITELLIANVS A
2.98;2.83e-03;82;2;2104866;2001;LEM:SPONTE
2.98;2.84e-03;3;1;2104866;2001;LEM:CISTERNA
2.98;2.80e-03;291;3;2104866;2001;LEM:SENATOR
2.98;2.84e-03;3;1;2104866;2001;LEM:SECVS 1
2.98;2.84e-03;3;1;2104866;2001;LEM:DETECTVS
2.95;3.08e-03;301;3;2104866;2001;LEM:TVRBO 2
2.95;3.14e-03;3678;10;2104866;2001;LEM:BELLVM
2.94;3.21e-03;1028;5;2104866;2001;LEM:LABOR 1
2.94;3.22e-03;1029;5;2104866;2001;LEM:PROELIVM
2.91;3.54e-03;92;2;2104866;2001;LEM:VETERANVS 1
2.91;3.56e-03;317;3;2104866;2001;LEM:BARBARVS 1
2.91;3.62e-03;319;3;2104866;2001;LEM:PLERIQVE
2.89;3.79e-03;659;4;2104866;2001;LEM:TEMPLVM
2.89;3.79e-03;4;1;2104866;2001;LEM:PERNOTESCO
2.89;3.79e-03;4;1;2104866;2001;LEM:PRAELONGVS
2.89;3.79e-03;4;1;2104866;2001;LEM:STAIVS N
2.89;3.79e-03;4;1;2104866;2001;LEM:SARDIANI N
2.89;3.79e-03;4;1;2104866;2001;LEM:IAZYGES N
2.89;3.79e-03;4;1;2104866;2001;LEM:SVBITARIVS
2.87;4.01e-03;331;3;2104866;2001;LEM:PRINCIPIVM
2.83;4.70e-03;1127;5;2104866;2001;LEM:METVS
2.83;4.58e-03;105;2;2104866;2001;LEM:ARTVS 2
2.82;4.73e-03;5;1;2104866;2001;LEM:PVTEOLANI N
2.82;4.73e-03;5;1;2104866;2001;LEM:COLLVVIES
2.82;4.73e-03;5;1;2104866;2001;LEM:EDITA
2.82;4.73e-03;5;1;2104866;2001;LEM:ATYS N
2.8;5.10e-03;111;2;2104866;2001;LEM:PORTICVS
2.79;5.36e-03;728;4;2104866;2001;LEM:CVNCTVS
2.78;5.37e-03;114;2;2104866;2001;LEM:AGRIPPA N
2.77;5.65e-03;117;2;2104866;2001;LEM:COETVS
2.77;5.67e-03;6;1;2104866;2001;LEM:PRAEDVCO
2.77;5.67e-03;6;1;2104866;2001;LEM:LYDI N
2.77;5.67e-03;6;1;2104866;2001;LEM:IMMENSVM 2
2.77;5.67e-03;6;1;2104866;2001;LEM:HERODES N
2.76;5.74e-03;118;2;2104866;2001;LEM:SITIS
2.75;5.93e-03;120;2;2104866;2001;LEM:MVLIEBRIS
2.74;6.19e-03;388;3;2104866;2001;LEM:SVPERO
2.74;6.11e-03;386;3;2104866;2001;LEM:DIVERSVS
2.72;6.61e-03;7;1;2104866;2001;LEM:VMMIDIVS N
2.72;6.61e-03;7;1;2104866;2001;LEM:GARAMANTES N
2.72;6.61e-03;7;1;2104866;2001;LEM:PORRECTVS
2.72;6.61e-03;7;1;2104866;2001;LEM:FANATICVS
2.72;6.61e-03;7;1;2104866;2001;LEM:CARPTIM
2.72;6.61e-03;7;1;2104866;2001;LEM:CLAVDIANVS A
2.72;6.61e-03;7;1;2104866;2001;LEM:LEPTITANI N
2.72;6.61e-03;7;1;2104866;2001;LEM:DEFENSO
2.68;7.43e-03;135;2;2104866;2001;LEM:ARDVVS
2.68;7.55e-03;8;1;2104866;2001;LEM:SVPERFLVO 1
2.68;7.55e-03;8;1;2104866;2001;LEM:TRANSRHENANI N
2.68;7.55e-03;8;1;2104866;2001;LEM:INTOLERANS
2.68;7.55e-03;8;1;2104866;2001;LEM:ABSVRDE
2.68;7.55e-03;8;1;2104866;2001;LEM:AEDVI N
2.68;7.55e-03;8;1;2104866;2001;LEM:VTENSILIA
2.65;8.18e-03;142;2;2104866;2001;LEM:INOPS
2.64;8.49e-03;9;1;2104866;2001;LEM:MERCATVS
