Indice de spécificité;Probabilité;Fréquence corpus;Fréquence partie;Taille corpus;Taille partie;Mot
37.58;7.13e-218;278;87;2104866;927;LEM:
4.7;2.16e-06;198;4;2104866;927;LEM:GALBA N
4.41;8.69e-06;10;2;2104866;927;LEM:VALENTINVS N
4.33;1.27e-05;12;2;2104866;927;LEM:NOVAESIVM N
4.14;2.91e-05;130;3;2104866;927;LEM:SALVTO
4.14;2.95e-05;18;2;2104866;927;LEM:RAPTVS
4.13;3.11e-05;391;4;2104866;927;LEM:CIVILIS
3.9;8.35e-05;30;2;2104866;927;LEM:DIMOVEO
3.81;1.21e-04;36;2;2104866;927;LEM:INCONDITVS
3.7;1.89e-04;45;2;2104866;927;LEM:SEQVANI N
3.69;1.96e-04;6542;11;2104866;927;LEM:AC 1
3.64;2.43e-04;51;2;2104866;927;LEM:IMMISCEO
3.6;2.88e-04;283;3;2104866;927;LEM:SEDITIO
3.54;3.59e-04;62;2;2104866;927;LEM:IMBELLIS
3.46;4.98e-04;47988;38;2104866;927;LEM:ET 2
3.42;5.82e-04;79;2;2104866;927;LEM:TREVIRI N
3.37;6.89e-04;86;2;2104866;927;LEM:SOCIVS 2
3.31;8.77e-04;2;1;2104866;927;LEM:MVSVLAMII N
3.3;8.92e-04;98;2;2104866;927;LEM:PALATIVM N
3.28;9.65e-04;102;2;2104866;927;LEM:PRISCVS
3.25;1.08e-03;108;2;2104866;927;LEM:SABINVS N
3.21;1.24e-03;116;2;2104866;927;LEM:NOCTV
3.2;1.32e-03;3;1;2104866;927;LEM:LIBVRNICVS A
3.2;1.32e-03;3;1;2104866;927;LEM:BAETASII N
3.18;1.42e-03;124;2;2104866;927;LEM:LICTOR
3.15;1.56e-03;130;2;2104866;927;LEM:IMPERITVS
3.02;2.45e-03;1256;4;2104866;927;LEM:PRINCEPS 1
3.02;2.42e-03;163;2;2104866;927;LEM:FORMIDO 1
3;2.63e-03;6;1;2104866;927;LEM:MEDIOMATRICI N
3;2.63e-03;6;1;2104866;927;LEM:BONNA N
3;2.63e-03;6;1;2104866;927;LEM:AEDITVVS
2.99;2.74e-03;622;3;2104866;927;LEM:MOX
2.99;2.69e-03;172;2;2104866;927;LEM:OSCVLVM
2.96;3.04e-03;183;2;2104866;927;LEM:ILLVC
2.95;3.07e-03;7;1;2104866;927;LEM:LINEVS
2.94;3.24e-03;189;2;2104866;927;LEM:COMPLEO
2.92;3.46e-03;1385;4;2104866;927;LEM:VBI 3
2.91;3.51e-03;8;1;2104866;927;LEM:CONTERMINVS 2
2.91;3.51e-03;8;1;2104866;927;LEM:VELABRVM N
2.91;3.51e-03;8;1;2104866;927;LEM:TRIERARCHVS
2.91;3.51e-03;8;1;2104866;927;LEM:PERTRAHO
2.88;3.94e-03;9;1;2104866;927;LEM:CERTVS N
2.87;4.08e-03;213;2;2104866;927;LEM:INCEDO 1
2.85;4.38e-03;10;1;2104866;927;LEM:TVNGRI N
2.85;4.30e-03;219;2;2104866;927;LEM:INOPIA
2.85;4.38e-03;10;1;2104866;927;LEM:NVMISIVS N
2.84;4.54e-03;225;2;2104866;927;LEM:LICENTIA
